_id,,Land Use,Property City,Sale Date,Sale Price,Acreage,Land Value,Building Value,Total Value,Finished Area,Year Built,Bedrooms,Full Bath,Half Bath
65d7ef0b234a2544308151a0,1,SINGLE FAMILY,NASHVILLE,1/11/13,191500,0.17,32000.0,134400.0,168300.0,1149.0,1941.0,2.0,1.0,0.0
65d7ef0b234a2544308151a1,2,SINGLE FAMILY,NASHVILLE,1/18/13,202000,0.11,34000.0,157800.0,191800.0,2090.82495,2000.0,3.0,2.0,1.0
65d7ef0b234a2544308151a2,3,SINGLE FAMILY,NASHVILLE,1/18/13,32000,0.17,25000.0,243700.0,268700.0,2145.60001,1948.0,4.0,2.0,0.0
65d7ef0b234a2544308151a3,4,SINGLE FAMILY,NASHVILLE,1/23/13,102000,0.34,25000.0,138100.0,164800.0,1969.0,1910.0,2.0,1.0,0.0
65d7ef0b234a2544308151a4,5,SINGLE FAMILY,NASHVILLE,1/4/13,93736,0.17,25000.0,86100.0,113300.0,1037.0,1945.0,2.0,1.0,0.0
65d7ef0b234a2544308151a6,7,SINGLE FAMILY,NASHVILLE,1/15/13,44000,0.2,16000.0,68100.0,84300.0,1216.0,1932.0,2.0,1.0,0.0
65d7ef0b234a2544308151a7,8,SINGLE FAMILY,NASHVILLE,1/25/13,49900,0.2,16000.0,68100.0,84300.0,1216.0,1932.0,2.0,1.0,0.0
65d7ef0b234a2544308151a8,9,SINGLE FAMILY,NASHVILLE,1/9/13,25000,0.4,25000.0,57100.0,88400.0,1152.0,1945.0,2.0,1.0,0.0
65d7ef0b234a2544308151a9,10,SINGLE FAMILY,NASHVILLE,1/18/13,90000,0.34,25000.0,80100.0,105100.0,1300.0,1955.0,2.0,1.0,0.0
65d7ef0b234a2544308151aa,11,SINGLE FAMILY,NASHVILLE,1/11/13,72000,0.23,21500.0,87900.0,109400.0,1175.0,1968.0,3.0,1.0,1.0
65d7ef0b234a2544308151ab,12,SINGLE FAMILY,NASHVILLE,1/4/13,120000,0.29,21500.0,107800.0,129300.0,1825.0,1978.0,7.0,2.0,0.0
65d7ef0b234a2544308151ac,13,VACANT RES LAND,NASHVILLE,1/23/13,55000,0.41,35500.0,201300.0,236800.0,1960.0,2013.0,4.0,2.0,1.0
65d7ef0b234a2544308151ad,14,SINGLE FAMILY,NASHVILLE,1/18/13,115900,0.25,21500.0,81700.0,103200.0,1474.0,1960.0,2.0,1.0,1.0
65d7ef0b234a2544308151ae,15,SINGLE FAMILY,NASHVILLE,1/17/13,120000,0.27,21500.0,92000.0,116300.0,1600.0,1962.0,4.0,1.0,1.0
65d7ef0b234a2544308151af,16,SINGLE FAMILY,NASHVILLE,1/4/13,262500,0.35,47000.0,213600.0,269000.0,1436.0,1955.0,2.0,2.0,0.0
65d7ef0b234a2544308151b2,19,DUPLEX,NASHVILLE,1/31/13,112500,0.27,28000.0,71100.0,99100.0,1436.0,1970.0,4.0,2.0,0.0
65d7ef0b234a2544308151b3,20,SINGLE FAMILY,NASHVILLE,1/8/13,134000,0.36,21000.0,83100.0,104300.0,1455.0,1958.0,3.0,2.0,0.0
65d7ef0b234a2544308151b4,21,SINGLE FAMILY,NASHVILLE,1/18/13,48000,0.44,21000.0,53400.0,74400.0,950.0,1958.0,2.0,1.0,0.0
65d7ef0b234a2544308151b5,22,SINGLE FAMILY,NASHVILLE,1/22/13,127000,0.42,21000.0,107100.0,128100.0,1927.0,1959.0,4.0,2.0,0.0
65d7ef0b234a2544308151b6,23,SINGLE FAMILY,NASHVILLE,1/8/13,92900,0.19,15000.0,66600.0,81600.0,1293.0,1980.0,4.0,1.0,1.0
65d7ef0b234a2544308151b7,24,SINGLE FAMILY,NASHVILLE,1/4/13,267300,0.76,55000.0,300400.0,355400.0,2370.0,1968.0,4.0,2.0,0.0
65d7ef0b234a2544308151ba,27,SINGLE FAMILY,NASHVILLE,1/28/13,187000,0.52,36500.0,151300.0,187800.0,2010.0,1965.0,3.0,2.0,0.0
65d7ef0b234a2544308151c0,33,SINGLE FAMILY,ANTIOCH,1/15/13,109900,0.28,24000.0,77400.0,101400.0,1247.0,1968.0,3.0,1.0,1.0
65d7ef0b234a2544308151f3,84,SINGLE FAMILY,NASHVILLE,1/24/13,131350,0.17,32000.0,89200.0,121200.0,1353.60001,1949.0,4.0,2.0,0.0
